_Co_Number,_W_Weight,_Y_treated,_Y_synthetic,_time
ISNE,0.0,93.1531982421875,103.0319595336914,708.0
NYIS,0.0,90.6084976196289,102.59381103515625,709.0
SWPP,1.0,79.95269775390625,92.42345428466797,710.0
,,89.66799926757812,85.99103546142578,711.0
,,91.24120330810547,88.74191284179688,712.0
,,106.2594985961914,101.6904067993164,713.0
,,118.44850158691406,118.12535858154297,714.0
,,123.68389892578125,117.68582153320312,715.0
,,116.57849884033203,109.71316528320312,716.0
,,97.2114028930664,88.9999771118164,717.0
,,94.85679626464844,94.78080749511719,718.0
,,98.33789825439453,96.22229766845703,719.0
,,94.48919677734375,99.62373352050781,720.0
,,93.18810272216797,98.70706176757812,721.0
,,89.91169738769531,87.10768127441406,722.0
,,85.17279815673828,81.67465209960938,723.0
,,94.32389831542969,82.70994567871094,724.0
,,105.63469696044922,109.14117431640625,725.0
,,115.54460144042969,119.87562561035156,726.0
,,127.66020202636719,115.50858306884766,727.0
,,117.2698974609375,94.96730041503906,728.0
,,105.3228988647461,89.10545349121094,729.0
,,92.7511978149414,87.48280334472656,730.0
,,96.66670227050781,97.4058609008789,731.0
,,93.41320037841797,99.4206771850586,732.0
,,89.92769622802734,108.03800201416016,733.0
,,90.68049621582031,87.63218688964844,734.0
,,90.48529815673828,86.67271423339844,735.0
,,95.25279998779297,87.27603912353516,736.0
,,112.35079956054688,110.10221862792969,737.0
,,125.49569702148438,116.78376007080078,738.0
,,122.7593994140625,118.31486511230469,739.0
,,114.4561996459961,105.43946075439453,740.0
,,97.33059692382812,88.73600006103516,741.0
,,94.29609680175781,90.15080261230469,742.0
,,101.26200103759766,93.51161193847656,743.0
,,95.4738998413086,105.69413757324219,744.0
,,92.9031982421875,104.51752471923828,745.0
,,90.44100189208984,94.10592651367188,746.0
,,89.98169708251953,89.2876205444336,747.0
,,95.09200286865234,97.07086181640625,748.0
,,113.66829681396484,115.52296447753906,749.0
,,120.7865982055664,129.46234130859375,750.0
,,130.2003936767578,124.47067260742188,751.0
,,126.70140075683594,106.10604095458984,752.0
,,102.69760131835938,89.44461059570312,753.0
,,94.8478012084961,96.30171203613281,754.0
,,100.28359985351562,105.51058959960938,755.0
,,98.18389892578125,102.45256805419922,756.0
,,95.18949890136719,101.70781707763672,757.0
,,95.09639739990234,96.34119415283203,758.0
,,89.9030990600586,90.09288787841797,759.0
,,94.4573974609375,95.48226928710938,760.0
,,97.52770233154297,111.39075469970703,761.0
,,122.68219757080078,122.8600845336914,762.0
,,124.56449890136719,129.46958923339844,763.0
,,108.93569946289062,108.76322174072266,764.0
,,101.58480072021484,93.58566284179688,765.0
,,95.79570007324219,95.92461395263672,766.0
,,98.1281967163086,100.68183135986328,767.0
,,96.17919921875,115.05310821533203,768.0
,,93.6886978149414,98.71134185791016,769.0
,,88.65290069580078,93.73199462890625,770.0
,,88.01840209960938,93.48094940185547,771.0
,,93.37789916992188,99.7276382446289,772.0
,,110.02020263671875,119.99723052978516,773.0
,,130.99609375,126.847900390625,774.0
,,125.98609924316406,128.83026123046875,775.0
,,117.95249938964844,110.39002990722656,776.0
,,108.16320037841797,98.91024780273438,777.0
,,98.25370025634766,96.05883026123047,778.0
,,100.4457015991211,105.12206268310547,779.0
,,97.72560119628906,118.27118682861328,780.0
,,95.2041015625,114.90249633789062,781.0
,,91.35900115966797,97.03144073486328,782.0
,,93.16230010986328,96.92134857177734,783.0
,,100.1885986328125,100.57447814941406,784.0
,,110.01219940185547,117.73660278320312,785.0
,,116.25299835205078,132.74160766601562,786.0
,,126.81950378417969,127.73065185546875,787.0
,,122.02110290527344,111.47249603271484,788.0
,,102.2051010131836,103.31624603271484,789.0
,,98.27559661865234,100.3911361694336,790.0
,,101.93450164794922,113.66770935058594,791.0
