_Co_Number,_W_Weight,_Y_treated,_Y_synthetic,_time
ERCO,0.06,101.48509979248047,109.05816574096679,708.0
ISNE,0.484,103.30030059814453,111.95689504241943,709.0
NYIS,0.457,95.80860137939453,99.93160856628418,710.0
,,91.63890075683594,50.6822211303711,711.0
,,91.03949737548828,95.49956153106689,712.0
,,95.81279754638672,100.44224113464355,713.0
,,108.96399688720703,118.69422943878175,714.0
,,107.08470153808594,107.49090647125243,715.0
,,103.34310150146484,101.12579428100585,716.0
,,93.50969696044922,96.89337747955322,717.0
,,103.22750091552734,100.47374780273438,718.0
,,104.78579711914062,108.95128353881836,719.0
,,107.03759765625,103.39739990997315,720.0
,,103.32599639892578,108.94204720306396,721.0
,,93.4968032836914,97.71412284851075,722.0
,,87.12239837646484,93.17994004058838,723.0
,,87.28510284423828,90.281911819458,724.0
,,95.77429962158203,92.9136404876709,725.0
,,109.84590148925781,116.25442253875732,726.0
,,105.69339752197266,109.45165447998048,727.0
,,92.1312026977539,95.90445394134522,728.0
,,91.822998046875,97.68000835418701,729.0
,,93.89070129394531,97.45170410156251,730.0
,,105.95449829101562,105.13650379180908,731.0
,,112.11060333251953,110.74520493316652,732.0
,,103.16329956054688,111.74563838958741,733.0
,,97.08429718017578,98.18593257904053,734.0
,,94.30159759521484,93.33315332794189,735.0
,,89.80229949951172,93.21865608215333,736.0
,,91.0009994506836,99.47793827819825,737.0
,,106.03160095214844,102.92980526733399,738.0
,,112.75700378417969,107.51406787109374,739.0
,,96.33080291748047,100.11061562347412,740.0
,,93.59960174560547,95.39431173706055,741.0
,,99.84980010986328,99.98301095581056,742.0
,,97.83350372314453,106.62082260894775,743.0
,,115.47969818115234,102.90076673126221,744.0
,,109.18659973144531,108.37751946258545,745.0
,,99.70850372314453,98.02390871429444,746.0
,,94.07050323486328,94.93783052825928,747.0
,,96.81890106201172,92.35806540679931,748.0
,,101.63929748535156,99.36892656707764,749.0
,,112.47869873046875,114.77418218231202,750.0
,,117.46610260009766,112.82983821868896,751.0
,,99.09210205078125,96.0881692199707,752.0
,,96.14250183105469,92.7362606048584,753.0
,,100.2864990234375,98.09842350006105,754.0
,,109.91010284423828,106.22698891448974,755.0
,,106.51959991455078,104.88305336761475,756.0
,,107.431396484375,105.36655922698975,757.0
,,105.10690307617188,100.38053494262695,758.0
,,97.7136001586914,88.30538759613037,759.0
,,96.13390350341797,89.92368731689453,760.0
,,102.4397964477539,95.14037255096436,761.0
,,109.34500122070312,117.43367942047118,762.0
,,119.47810363769531,110.24150844573975,763.0
,,100.2051010131836,95.27631329345704,764.0
,,96.77179718017578,94.33917150115967,765.0
,,103.74980163574219,100.40847315979005,766.0
,,105.09829711914062,105.84713528442383,767.0
,,120.32150268554688,61.08842007446289,768.0
,,106.6094970703125,105.98858763885498,769.0
,,106.96910095214844,91.90598624420167,770.0
,,101.95610046386719,89.88012185668946,771.0
,,102.17440032958984,92.466610206604,772.0
,,107.32440185546875,97.94729878234864,773.0
,,106.98619842529297,118.94376042175293,774.0
,,114.62779998779297,109.74644779205323,775.0
,,105.97160339355469,99.07364919281007,776.0
,,105.72760009765625,47.22683435058593,777.0
,,104.25070190429688,99.73478314208984,778.0
,,115.47109985351562,108.68911228942872,779.0
,,124.4397964477539,59.24480297851562,780.0
,,116.52850341796875,110.15883108520508,781.0
,,109.40499877929688,93.53215909576416,782.0
,,106.63089752197266,79.29070844268799,783.0
,,104.41329956054688,81.73599060821533,784.0
,,108.5873031616211,96.3890410003662,785.0
,,123.85759735107422,112.19867443847656,786.0
,,118.99009704589844,96.63138567352294,787.0
,,110.45379638671875,95.0337696762085,788.0
,,104.80290222167969,95.28968058776856,789.0
,,112.19619750976562,98.11937509155274,790.0
,,111.47699737548828,119.26447164154052,791.0
