year_month,avg_demand_mwh,min_demand_mwh,n_hours,zone
2019-01,10514.407354736326,7958.296486,713,COAST
2019-02,10456.636191520187,8202.097545,644,COAST
2019-03,10450.842520830056,8028.861,712,COAST
2019-04,10962.02416807971,8010.240626,690,COAST
2019-05,13121.85823026648,8820.788234,713,COAST
2019-06,14609.865460773914,10006.175337,690,COAST
2019-07,15244.210215298739,10388.435148,713,COAST
2019-08,15777.352692907432,11271.649867,713,COAST
2019-09,14379.340435173914,10560.316653,690,COAST
2019-10,11730.19080762833,7913.343226,713,COAST
2019-11,10556.688946485507,8301.102342,690,COAST
2019-12,10720.502217614307,8141.590578,713,COAST
2020-01,10661.304329065919,8517.995698,713,COAST
2020-02,10773.991745949026,8376.830655,667,COAST
2020-03,11327.730410264045,8644.609333,712,COAST
2020-04,11135.454065030435,8040.7743,690,COAST
2020-05,12559.330551001402,8254.971975,713,COAST
2020-06,14303.522025920289,9837.899061,690,COAST
2020-07,15246.014530015427,10786.475308,713,COAST
2020-08,15471.882043899017,9965.353752,713,COAST
2020-09,13659.155440339131,9012.05653,690,COAST
2020-10,12635.733229481066,8881.480624,713,COAST
2020-11,11438.219481681159,8851.232186,690,COAST
2020-12,11262.057823697054,9151.10322,713,COAST
2021-01,11373.358292298737,8909.07988,713,COAST
2021-02,11020.214732200311,7803.540585,644,COAST
2021-03,10340.906582568821,8005.079091,712,COAST
2021-04,11816.307617828985,8613.451097,690,COAST
2021-05,13176.039346350632,9650.249114,713,COAST
2021-06,15350.144400939129,10410.158557,690,COAST
2021-07,15533.289055510519,11318.639115,713,COAST
2021-08,16248.799435185132,11926.485393,713,COAST
2021-09,14524.827558850724,9766.084666,690,COAST
2021-10,13132.04185351052,8949.655949,713,COAST
2021-11,11331.113461152174,9291.198675,690,COAST
2021-12,11993.27481735063,9487.227148,713,COAST
2022-01,12166.884472938289,9491.985476,713,COAST
2022-02,12346.721805012421,9564.217699,644,COAST
2022-03,11548.789899858146,9342.93482,712,COAST
2022-04,12391.499756897101,9090.607189,690,COAST
2022-05,15263.795778401123,10173.32042,713,COAST
2022-06,16766.80649507826,11732.009123,690,COAST
2022-07,16430.841495764376,11832.464614,713,COAST
2022-08,15534.286018206172,11397.058486,713,COAST
2022-09,14410.904597662318,9676.254377,690,COAST
2022-10,12019.38423937728,8683.047953,713,COAST
2022-11,11447.10824687826,8831.652649,690,COAST
2022-12,11466.399272616572,7986.14618,712,COAST
2023-01,10604.322450548387,7889.554389,713,COAST
2023-02,11274.785326411491,8239.68373,644,COAST
2023-03,11687.356813550561,8993.460553,712,COAST
2023-04,11777.80234086087,8798.371247,690,COAST
2023-05,13966.571744012621,9747.192834,713,COAST
2023-06,16641.08538732319,10812.977492,690,COAST
2023-07,17502.79061517251,12320.724714,713,COAST
2023-08,18545.860731942495,13127.091117,713,COAST
2023-09,16814.71913545797,11874.435192,690,COAST
2023-10,13393.118843969145,9633.392713,713,COAST
2023-11,11772.50306881884,9596.581972,690,COAST
2023-12,11812.817768042076,9706.437318,713,COAST
2024-01,12643.019788559608,9881.115783,713,COAST
2024-02,11325.537053280359,9203.853226,667,COAST
2024-03,11524.162162967697,9349.653944,712,COAST
2024-04,12530.165172010145,9255.364984,690,COAST
2024-05,14559.292914546984,9116.863523,713,COAST
2024-06,17059.789035315942,12045.350107,690,COAST
2024-07,15385.792577018232,7128.496204,713,COAST
2024-08,17708.84009795512,12816.30245,713,COAST
2024-09,15843.851705750725,10873.372333,690,COAST
2024-10,14711.028052708276,10401.846167,713,COAST
2024-11,13042.270859373913,10104.959236,690,COAST
2024-12,12099.535973129032,9827.605184,713,COAST
2025-01,13306.629854329594,10046.927754,713,COAST
2025-02,12897.26383872826,10187.893367,644,COAST
2025-03,12624.227814901686,10058.999936,712,COAST
2025-04,14068.883847594201,10597.181973,690,COAST
2025-05,15477.729381517533,10444.59035,713,COAST
2025-06,17020.769081673916,12250.271629,690,COAST
2025-07,17366.537922664796,12826.029379,713,COAST
2025-08,17532.26724970126,12910.423369,713,COAST
2025-09,16558.161544572464,11489.657475,690,COAST
2025-10,14771.866379469844,10349.811041,713,COAST
2025-11,12865.558429886956,9997.437528,690,COAST
2025-12,12733.184056556804,10312.83031,713,COAST
2019-01,1430.4623001023842,920.953673,713,EAST
2019-02,1382.8941752220496,946.048864,644,EAST
2019-03,1300.2862250070225,889.420752,712,EAST
2019-04,1287.873844737681,915.354093,690,EAST
2019-05,1416.1511932776998,853.6658,713,EAST
2019-06,1596.658566573913,1021.437551,690,EAST
2019-07,1735.4313089845723,1061.412237,713,EAST
2019-08,1874.5434343969146,1213.653957,713,EAST
2019-09,1735.8182355304345,1168.29279,690,EAST
2019-10,1384.4241452650772,885.075394,713,EAST
2019-11,1346.7663986028986,943.657154,690,EAST
2019-12,1376.92497086676,959.112691,713,EAST
2020-01,1352.3023938695653,903.338017,713,EAST
2020-02,1425.107313755622,994.581593,667,EAST
2020-03,1402.3854362991572,993.745867,712,EAST
2020-04,1304.9314051057972,923.068816,690,EAST
2020-05,1449.7790873323984,863.809399,713,EAST
2020-06,1768.9896896608698,1028.314447,690,EAST
2020-07,1988.7100681136046,1274.118315,713,EAST
2020-08,2029.2926252468444,1231.056496,713,EAST
2020-09,1649.6003306913044,965.046959,690,EAST
2020-10,1469.5915116718093,957.587237,713,EAST
2020-11,1407.3807435188405,985.692681,690,EAST
2020-12,1583.4027357180926,1088.718448,713,EAST
2021-01,1630.142990719495,1122.49398,713,EAST
2021-02,1793.1347510341616,1099.689077,644,EAST
2021-03,1378.540940502809,1017.023003,712,EAST
2021-04,1390.6531688275363,1025.603033,690,EAST
2021-05,1494.8625244417951,995.208117,713,EAST
2021-06,1885.901180395652,1142.238414,690,EAST
2021-07,1922.5056155147265,1260.213605,713,EAST
2021-08,2036.4273649929876,1313.401738,713,EAST
