year_month,arima_baseline,proj_conservative,proj_trend,increment_conservative,increment_trend,actual_demand
2025-01,52748.65192875047,53260.89211894356,53458.2474020496,512.2401901930848,709.5954732991282,54484.706475858344
2025-02,48427.88841284361,48940.1286030367,49137.48388614274,512.2401901930848,709.5954732991282,51736.54394690373
2025-03,46819.92881853696,47332.169008730045,47529.52429183609,512.2401901930848,709.5954732991282,46783.90165219242
2025-04,49094.740408124075,49606.98059831716,49804.335881423205,512.2401901930848,709.5954732991282,50788.54294822463
2025-05,55870.553745945814,56382.7939361389,56580.149219244944,512.2401901930848,709.5954732991282,55452.66596565778
2025-06,63728.90968877349,64241.14987896658,64438.50516207262,512.2401901930848,709.5954732991282,62826.620696340586
2025-07,63727.35506325228,64239.59525344537,64436.95053655141,512.2401901930848,709.5954732991282,64414.062857345016
2025-08,68315.7732766999,68828.01346689298,69025.36874999902,512.2401901930848,709.5954732991282,66553.51871752174
2025-09,60112.35832945515,60624.598519648236,60821.95380275428,512.2401901930848,709.5954732991282,61237.75773987101
2025-10,54430.635874630236,54942.87606482332,55140.231347929366,512.2401901930848,709.5954732991282,55178.55648727349
2025-11,49556.61353056677,50068.85372075986,50266.2090038659,512.2401901930848,709.5954732991282,49412.98371316956
2025-12,50166.72754531812,50678.96773551121,50876.32301861725,512.2401901930848,709.5954732991282,50854.20924751894
2026-01,55468.42459245672,55980.66478264981,56178.02006575585,512.2401901930848,709.5954732991282,
2026-02,52077.01258391068,52589.25277410376,52786.60805720981,512.2401901930848,709.5954732991282,
2026-03,50170.4079489989,50682.64813919199,50880.00342229803,512.2401901930848,709.5954732991282,
2026-04,52173.346765461036,52685.58695565412,52882.942238760166,512.2401901930848,709.5954732991282,
2026-05,58788.08847957514,59300.32866976823,59497.68395287427,512.2401901930848,709.5954732991282,
2026-06,66631.56688500471,67143.8070751978,67341.16235830383,512.2401901930848,709.5954732991282,
2026-07,67189.23359972534,67701.47378991843,67768.16431894254,512.2401901930848,578.9307192172042,
2026-08,71208.91165824089,71721.15184843398,71787.84237745809,512.2401901930848,578.9307192172042,
2026-09,63344.884182726666,63857.12437291975,63923.81490194387,512.2401901930848,578.9307192172042,
2026-10,57196.37914784557,57708.619338038654,57775.30986706277,512.2401901930848,578.9307192172042,
2026-11,52659.67040648492,53171.910596678004,53238.601125702124,512.2401901930848,578.9307192172042,
2026-12,53448.716848297096,53960.95703849018,54027.6475675143,512.2401901930848,578.9307192172042,
2027-01,58600.60685544408,59112.847045637165,59179.537574661284,512.2401901930848,578.9307192172042,
2027-02,55504.83557471182,56017.075764904905,56083.766293929024,512.2401901930848,578.9307192172042,
2027-03,53503.22744923354,54015.46763942663,54082.15816845075,512.2401901930848,578.9307192172042,
2027-04,55419.67943710302,55931.919627296105,55998.610156320225,512.2401901930848,578.9307192172042,
2027-05,61983.18183898065,62495.42202917374,62562.112558197856,512.2401901930848,578.9307192172042,
2027-06,69821.92747543138,70334.16766562447,70400.85819464858,512.2401901930848,578.9307192172042,
2027-07,70557.49093075952,71069.73112095261,71201.75402701768,512.2401901930848,644.2630962581561,
2027-08,74396.24417018419,74908.48436037728,75040.50726644235,512.2401901930848,644.2630962581561,
2027-09,66640.18096691639,67152.42115710948,67284.44406317455,512.2401901930848,644.2630962581561,
2027-10,60343.18535489022,60855.42554508331,60987.448451148375,512.2401901930848,644.2630962581561,
2027-11,55913.78115676723,56426.02134696032,56558.044253025386,512.2401901930848,644.2630962581561,
2027-12,56759.74870167848,57271.988891871566,57404.01179793663,512.2401901930848,644.2630962581561,
